"Timestamp","Do you identify as a member of the LGBTQ community?","#1","#2","#3","#4","#5","#6","#7","#8","#9","#10","What gender do you identify as?","#1","#2","#3","#4","#5","#6","#7","#8","#9","#10"
"2019/05/19 1:25:07 AM MDT","Yes","faggot","fag","tranny","","","","","","","","Male","","","","","","","","","",""
"2019/05/19 5:50:31 AM MDT","Yes","","","","","","","","","","","Female","","","","","","","","","",""
"2019/05/19 9:27:58 AM MDT","Yes","Faggot","Fag","","","","","","","","","Female","Whore","","","","","","","","",""
"2019/05/19 11:41:49 AM MDT","Yes","Queer","Fag","Bitch","Cunt","","","","","","","Female","Whore","Slut","Cunt","Bitch","Gash","Thot","Skank","Skirt","Hole","Crazy bitch"
"2019/05/19 6:52:05 PM MDT","Yes","Faggot","","","","","","","","","","Male","","","","","","","","","",""
"2019/05/20 1:05:32 AM MDT","Yes","Fag","Dyke","Fairy ","Fruity ","Tranny","","","","","","Male","","","","","","","","","",""
"2019/05/20 11:13:41 AM MDT","No","","","","","","","","","","","Male","","","","","","","","","",""
"2019/05/20 1:13:24 PM MDT","No","","","","","","","","","","","Male","","","","","","","","","",""
"2019/05/20 1:17:56 PM MDT","Yes","Dyke","Bitch","Carpet muncher","Beaver eater","Butt fucker","fag(got)","Fairy ","Cocksucker","Takes it in the ass","Lesbo","Female","Bitch","Cunt","Slut","Ho ","Whore","Pussy","Loose","Meat curtains / beef curtains ","Moose knuckle ","Fat"
"2019/05/20 1:22:07 PM MDT","No","","","","","","","","","","","Female","Slut","Whore","C-word","Bitch","","","","","",""
"2019/05/20 1:28:18 PM MDT","Yes","Fag/Faggot","Fairy","Sissy","Fudge packer ","Mallate (pronounced mayatay, means dung beetle in Spanish) ","Homo","Queer","","","","Male","","","","","","","","","",""
"2019/05/20 2:13:21 PM MDT","No","","","","","","","","","","","Male","","","","","","","","","",""
"2019/05/20 2:13:58 PM MDT","No","","","","","","","","","","","Female","","","","","","","","","",""
"2019/05/20 5:43:12 PM MDT","No","","","","","","","","","","","Male","","","","","","","","","",""
"2019/05/22 9:12:17 PM MDT","Yes","Fag","Faggot","","","","","","","","","Female","Whore","Weak gender","""Possesion""","","","","","","",""